customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,is_escalated,complaint_count,tenure_days,age,churn_risk,is_high_risk
5638-XAMDB,2025-04-21,Paid,2027-04-21,Premium,Annual,,,21.47,352,77,0,Indira Raj Rawat,India,Puducherry,Female,2000-08-27,2026-01-13,0,21.0,1.0,1.0,514.0,26,high,1
2063-NRNRU,2024-11-06,Organic,2026-09-27,Standard,Monthly,,,14.43,290,10,0,Reyansh Lal Chopra,India,Karnataka,Male,1968-01-14,2026-02-05,0,29.0,0.0,2.0,680.0,58,low,0
9573-UHXYT,2026-08-04,Paid,2026-10-03,Standard,Monthly,,,14.41,13,70,0,Govind Nath Gowda,India,Meghalaya,Male,1998-07-10,2026-09-12,0,62.0,0.0,3.0,44.0,28,high,1
4865-NSNYZ,2022-05-09,Organic,2023-06-10,Basic,Monthly,2023-06-10,Too expensive,9.15,109,57,1,Sulochana Chand Bhatt,India,Mizoram,Female,1982-12-06,2023-04-03,0,37.0,0.0,3.0,397.0,43,med,0
2271-TKTPJ,2026-02-09,Paid,2027-02-09,Standard,Annual,,,16.83,137,20,0,Rangadevi Subramaniam,India,Odisha,Female,1991-03-15,2026-07-29,0,59.0,0.0,2.0,220.0,35,low,0
2888-AJKAU,2022-06-24,Referral,2027-06-23,Premium,Annual,,,22.38,1130,6,0,Saanvi Vora,India,Mizoram,Female,1979-11-02,2025-12-16,0,52.0,1.0,3.0,1546.0,46,low,0
7247-JBTLI,2026-07-21,Paid,2026-09-19,Basic,Monthly,,,8.67,8,61,0,Anita Chand Chauhan,India,Bihar,Female,1975-10-04,2026-08-21,0,42.0,0.0,1.0,58.0,50,med,0
1543-VRRVA,2026-05-09,Paid,2027-05-09,Standard,Annual,,,16.9,63,28,0,Sunil Lal Dutt,India,Odisha,Male,1980-06-13,2026-07-22,0,57.0,0.0,1.0,131.0,46,low,0
3738-BWWLU,2023-11-12,Paid,2024-08-29,Standard,Monthly,2024-08-29,Technical issues,17.69,171,79,1,Sanjay Rani Singh,India,Sikkim,Male,1964-07-18,2024-08-19,0,23.0,0.0,4.0,291.0,62,high,1
9546-COGQB,2023-12-27,Organic,2026-03-01,Standard,Monthly,2026-03-01,No longer interested,12.47,345,31,1,Prerna Venkatesh,India,Haryana,Female,1977-04-11,2025-01-04,0,66.0,0.0,3.0,795.0,49,low,0
1573-BXHTY,2025-01-04,Paid,2025-02-11,Premium,Monthly,2025-02-11,Too expensive,23.64,30,4,1,Usha Sinha,India,Odisha,Female,1980-09-06,,0,,,,38.0,46,low,0
5034-JTVGN,2024-05-14,Referral,2027-05-14,Standard,Annual,,,12.02,435,24,0,Om Thakur,India,Kerala,Male,2002-10-19,2025-05-08,0,65.0,0.0,1.0,856.0,23,low,0
8693-URFZX,2024-07-28,Paid,2026-09-16,Premium,Monthly,,,23.05,659,70,0,Alka Agarwal,India,Himachal Pradesh,Female,1983-10-17,2024-10-03,0,54.0,0.0,1.0,781.0,42,high,1
9648-IXEQS,2022-06-13,Organic,2023-03-04,Standard,Monthly,2023-03-04,No longer interested,17.28,169,48,1,Tanvi Ahuja,India,Bihar,Female,1973-01-31,2023-02-06,0,33.0,0.0,7.0,264.0,53,low,0
5479-QQLXO,2024-03-27,Paid,2026-10-13,Premium,Monthly,,,24.26,700,48,0,Tanmay Pillai,India,Rajasthan,Male,1980-07-02,,0,,,,904.0,46,low,0
0899-UAYXT,2023-05-13,Referral,2026-09-24,Standard,Monthly,,,17.74,728,7,0,Anil Saxena,India,Uttar Pradesh,Male,1985-07-10,2024-10-26,0,48.0,1.0,2.0,1223.0,41,low,0
9499-PFYTZ,2025-12-13,Paid,2026-12-13,Standard,Annual,,,15.45,161,6,0,Gauri Barman,India,Telangana,Female,1994-07-03,2026-04-21,0,75.0,1.0,2.0,278.0,32,low,0
8349-MSPKZ,2024-01-30,Organic,2024-08-31,Standard,Monthly,2024-08-31,Poor customer support,16.51,142,63,1,Kamla Rani Banerjee,India,Chandigarh,Female,1978-01-11,2024-05-28,0,22.0,1.0,2.0,214.0,48,med,0
3839-IRQHB,2023-07-08,Paid,2025-03-04,Standard,Monthly,2025-03-04,No longer interested,16.46,369,18,1,Rohan Kumar Kohli,India,Sikkim,Male,1986-12-18,2024-08-26,0,47.0,1.0,4.0,605.0,39,low,0
3335-RIMRD,2024-05-25,Referral,2026-10-12,Standard,Monthly,,,12.35,445,5,0,Lalit Bora,India,Telangana,Male,1977-11-23,2026-05-18,0,87.0,0.0,1.0,845.0,48,low,0
4620-FNDIB,2022-08-26,Paid,2025-01-04,Basic,Monthly,2025-01-04,Too expensive,8.28,217,23,1,Sai Lal Raman,India,Jammu and Kashmir,Male,1964-11-13,2024-12-13,0,42.0,0.0,8.0,862.0,61,low,0
0584-ZNZDV,2024-04-08,Organic,2026-07-30,Standard,Monthly,2026-07-30,Poor customer support,12.58,400,23,1,Uma Chand Krishnan,India,Delhi,Female,1974-05-23,2026-05-15,0,65.0,0.0,2.0,843.0,52,low,0
1939-FEMEM,2024-10-03,Referral,2026-10-03,Standard,Annual,,,17.94,376,3,0,Rakesh Murthy,India,Punjab,Male,1994-01-07,,0,,,,714.0,32,low,0
1294-CBMSJ,2022-07-05,Organic,2027-07-04,Standard,Annual,,,14.11,669,19,0,Gayatri Kohli,India,Punjab,Female,1972-01-29,2026-08-24,0,52.0,0.0,5.0,1535.0,54,low,0
1262-JTULL,2024-10-19,Paid,2026-10-19,Basic,Annual,,,7.73,221,10,0,Aman Chand Venkatesh,India,Tamil Nadu,Male,1964-03-08,2026-04-27,0,38.0,0.0,3.0,698.0,62,low,0
0686-ZEIGX,2025-01-17,Referral,2027-01-17,Premium,Annual,,,24.73,560,14,0,Satish Bai Gowda,India,Maharashtra,Male,1987-07-23,2026-06-26,0,63.0,0.0,4.0,608.0,39,low,0
4416-RLGYI,2025-11-07,Organic,2025-12-08,Basic,Annual,2025-12-08,Poor content quality,9.64,10,70,1,Rajiv Sen,India,Mizoram,Male,1967-02-22,2025-12-04,0,18.0,1.0,4.0,31.0,59,high,1
6893-LYSJH,2025-06-19,Paid,2026-10-12,Basic,Monthly,,,9.05,129,53,0,Manoj Nath Sen,India,Kerala,Male,1965-11-10,2026-01-01,0,0.0,0.0,4.0,455.0,60,med,0
8874-ITMAK,2025-09-25,Organic,2026-03-31,Standard,Monthly,2026-03-31,Technical issues,17.91,104,66,1,Ishan Bai Lakra,India,Odisha,Male,1985-08-02,2026-03-13,0,54.0,0.0,4.0,187.0,41,med,0
9407-WBWIO,2023-02-16,Paid,2026-09-28,Premium,Monthly,,,21.67,1113,10,0,Dhruv Kumari Sinha,India,Puducherry,Male,1978-04-19,2026-03-03,0,79.0,0.0,2.0,1309.0,48,low,0
0339-SIQOM,2023-10-10,Referral,2025-04-10,Basic,Monthly,2025-04-10,Poor customer support,8.36,173,19,1,Simran Kumar Chadha,India,Telangana,Female,1969-02-04,2024-12-06,0,80.0,0.0,4.0,548.0,57,low,0
2033-OLEEF,2026-06-22,Referral,2026-09-20,Standard,Monthly,,,17.86,42,19,0,Vinay Desai,India,Sikkim,Male,1997-10-18,2026-07-19,0,51.0,0.0,1.0,87.0,28,low,0
1640-DEVFF,2021-12-20,Paid,2026-12-19,Standard,Annual,,,16.97,923,45,0,Nitin Chand Thapar,India,Tamil Nadu,Male,1987-07-22,2024-05-23,0,32.0,1.0,3.0,1732.0,39,low,0
2795-CHCBU,2025-06-20,Organic,2025-11-30,Premium,Monthly,2025-11-30,Too expensive,24.38,122,94,1,Rangadevi Devi Bansal,India,Kerala,Female,1982-07-18,2025-11-04,0,32.0,1.0,6.0,163.0,44,high,1
5795-SLFPF,2022-09-20,Paid,2026-09-29,Premium,Monthly,,,21.44,1336,19,0,Sulochana Sarkar,India,Punjab,Female,2007-09-26,2026-03-09,0,66.0,0.0,3.0,1458.0,18,low,0
1228-LPRWK,2026-03-19,Paid,2027-03-19,Premium,Annual,,,20.68,107,7,0,Sadhana Nath Hegde,India,Nagaland,Female,2000-11-10,2026-09-14,0,27.0,0.0,3.0,182.0,25,low,0
5653-FFFYG,2026-03-30,Paid,2027-03-30,Basic,Annual,,,7.31,43,13,0,Bhavya Sarkar,India,Uttar Pradesh,Female,1961-10-26,2026-09-12,0,49.0,1.0,3.0,171.0,64,low,0
2773-YKXXI,2022-10-26,Referral,2026-10-05,Basic,Monthly,,,9.03,436,43,0,Neha Gowda,India,Himachal Pradesh,Female,1961-11-11,2024-03-13,0,43.0,0.0,1.0,1422.0,64,low,0
7524-IDHRH,2025-04-09,Organic,2025-11-15,Basic,Monthly,2025-11-15,Personal reasons,9.48,66,61,1,Lavanya Devi Barman,India,Bihar,Female,1989-02-07,2025-11-13,0,26.0,0.0,3.0,220.0,37,med,0
6436-LDCMW,2026-01-08,Referral,2026-10-05,Standard,Monthly,,,17.69,129,24,0,Pari Prasad,India,Jharkhand,Female,1998-10-05,2026-08-06,0,58.0,0.0,4.0,252.0,27,low,0
6885-UFYDE,2024-05-18,Referral,2025-07-30,Standard,Annual,2025-07-30,No longer interested,13.2,212,4,1,Milind Murthy,India,Sikkim,Male,2004-10-22,2024-09-27,0,100.0,0.0,1.0,438.0,21,low,0
8776-WGJGR,2024-08-01,Paid,2027-08-01,Premium,Annual,,,23.88,695,4,0,Gaurav Sen,India,Kerala,Male,1993-12-14,2025-09-17,0,65.0,0.0,1.0,777.0,32,low,0
1868-FVXPE,2024-04-10,Referral,2026-09-02,Premium,Monthly,2026-09-02,No longer interested,22.51,840,54,1,Ruchi Chand Mahato,India,Andhra Pradesh,Female,1962-04-09,2026-05-30,0,41.0,0.0,2.0,875.0,64,med,0
3820-KRQOA,2023-03-29,Organic,2026-10-09,Basic,Monthly,,,8.64,439,45,0,Mira Thapar,India,Karnataka,Female,1991-06-09,2026-07-17,0,70.0,0.0,4.0,1268.0,35,low,0
5584-LIILC,2025-03-09,Paid,2025-09-30,Basic,Monthly,2025-09-30,No longer interested,7.39,54,9,1,Kunal Nath Kale,India,Gujarat,Male,2007-07-29,2025-09-02,0,77.0,0.0,4.0,205.0,19,low,0
3275-ZFMHS,2024-04-05,Organic,2027-04-05,Premium,Annual,,,21.82,639,16,0,Kishore Kumari Phukan,India,Assam,Male,1968-01-03,2025-03-06,0,69.0,0.0,2.0,895.0,58,low,0
8098-ZRMCI,2025-07-09,Referral,2025-09-15,Basic,Monthly,2025-09-15,No longer interested,7.2,13,21,1,Vijay Baruah,India,Arunachal Pradesh,Male,1964-10-06,2025-09-06,0,43.0,0.0,10.0,68.0,61,low,0
3497-LOBBR,2023-09-22,Paid,2026-05-10,Premium,Annual,2026-05-10,Switched to competitor,24.64,901,50,1,Abhishek Nath Rawat,India,Maharashtra,Male,2005-08-05,2025-10-23,0,6.0,0.0,1.0,961.0,21,med,0
5174-KDYYZ,2023-07-10,Paid,2026-09-22,Basic,Monthly,,,7.77,295,32,0,Damini Shinde,India,Maharashtra,Female,1963-07-13,2025-10-05,0,57.0,0.0,3.0,1165.0,63,low,0
5669-XKSSK,2022-11-23,Organic,2026-10-03,Standard,Monthly,,,17.66,926,26,0,Kavita Bhardwaj,India,Madhya Pradesh,Female,2001-11-30,2026-06-22,0,26.0,1.0,1.0,1394.0,24,low,0
9889-XELQP,2023-09-02,Paid,2026-09-16,Standard,Monthly,,,13.95,520,28,0,Asha Menon,India,Andhra Pradesh,Female,1975-06-25,2024-03-05,0,71.0,0.0,1.0,1111.0,51,low,0
1547-ATGLO,2021-12-29,Organic,2026-12-28,Basic,Annual,,,9.54,620,32,0,Nakul Rani Kulkarni,India,Odisha,Male,1976-09-08,2026-05-13,0,43.0,0.0,2.0,1723.0,50,low,0
6010-HCJJP,2021-12-12,Referral,2026-12-11,Standard,Annual,,,17.11,969,1,0,Shreya Barman,India,Jharkhand,Female,1999-07-26,,0,,,,1740.0,27,low,0
3068-GOXQW,2025-02-27,Paid,2026-09-20,Basic,Monthly,,,9.92,172,75,0,Nidhi Lal Tiwari,India,Andhra Pradesh,Female,2004-09-30,2026-05-19,0,55.0,0.0,3.0,567.0,21,high,1
9970-WNCRO,2024-01-04,Organic,2026-09-20,Premium,Monthly,,,20.43,590,18,0,Jaya Reddy,India,Jammu and Kashmir,Female,1962-05-13,2025-07-20,0,57.0,0.0,2.0,987.0,64,low,0
2093-DESMY,2024-02-18,Paid,2026-10-05,Basic,Monthly,,,8.74,293,10,0,Akash Sen,India,Odisha,Male,1988-11-15,2024-10-20,0,76.0,0.0,1.0,942.0,37,low,0
9196-KJDDE,2024-01-07,Paid,2024-07-07,Premium,Annual,2024-07-07,Poor content quality,23.55,131,9,1,Shailendra Raj Deshmukh,India,Himachal Pradesh,Male,1961-11-17,2024-01-27,0,7.0,0.0,1.0,182.0,64,low,0
3304-EXVYD,2026-04-19,Paid,2026-07-26,Basic,Monthly,2026-07-26,Personal reasons,9.77,27,15,1,Aakash Vora,India,Assam,Male,1984-04-12,2026-07-08,0,72.0,0.0,3.0,98.0,42,low,0
4266-FWPKZ,2024-11-06,Paid,2025-08-15,Premium,Monthly,2025-08-15,Too expensive,23.58,261,35,1,Vidya Dutt,India,Arunachal Pradesh,Female,1984-12-27,2025-06-26,0,43.0,0.0,5.0,282.0,41,low,0
6768-XUHUD,2026-02-03,Referral,2027-02-03,Basic,Annual,,,9.56,71,33,0,Sonal Agarwal,India,Punjab,Female,1973-10-17,2026-08-04,0,30.0,0.0,2.0,226.0,52,low,0
2270-BOAFM,2026-06-27,Paid,2026-07-23,Premium,Annual,2026-07-23,Too expensive,22.19,26,3,1,Lalita Lakra,India,Meghalaya,Female,1970-11-01,2026-07-21,0,52.0,0.0,3.0,26.0,55,low,0
2799-GASXJ,2026-04-26,Referral,2027-04-26,Standard,Annual,,,13.66,58,12,0,Sneha Nath Deshmukh,India,Karnataka,Female,2007-10-01,2026-06-15,0,56.0,1.0,4.0,144.0,18,low,0
7980-IDRUF,2025-01-24,Paid,2025-07-07,Standard,Monthly,2025-07-07,No longer interested,15.86,95,13,1,Dhruv Rao,India,Kerala,Male,1986-08-07,2025-06-17,0,81.0,0.0,7.0,164.0,40,low,0
4186-QGKHP,2021-10-23,Paid,2026-09-27,Standard,Monthly,,,15.52,947,17,0,Hardik Kumar Yadav,India,Jharkhand,Male,1966-06-30,2022-09-05,0,18.0,0.0,1.0,1790.0,60,low,0
1517-JZKJP,2025-11-13,Paid,2026-10-09,Premium,Monthly,,,20.02,230,27,0,Akash Solanki,India,Sikkim,Male,1973-11-13,2026-08-31,0,77.0,1.0,3.0,308.0,52,low,0
8699-ELVFU,2026-04-14,Paid,2027-04-14,Standard,Annual,,,12.45,69,6,0,Ajay Mukherjee,India,Madhya Pradesh,Male,2004-10-07,2026-09-09,0,57.0,1.0,3.0,156.0,21,low,0
9779-CGRSG,2025-08-12,Paid,2027-08-12,Basic,Annual,,,7.22,116,4,0,Kajal Kumar Lakra,India,Haryana,Female,2004-11-23,2026-07-26,0,78.0,0.0,1.0,401.0,21,low,0
9820-RTHYP,2025-03-25,Referral,2025-07-09,Basic,Annual,2025-07-09,Personal reasons,7.89,30,39,1,Shashank Rathore,India,Meghalaya,Male,2000-11-07,2025-05-08,0,69.0,0.0,2.0,106.0,25,low,0
5798-HLTVI,2023-01-03,Paid,2024-05-28,Basic,Monthly,2024-05-28,Poor customer support,9.06,162,76,1,Shreya Murthy,India,Manipur,Female,1965-12-04,,0,,,,511.0,60,high,1
5727-XYYYU,2023-07-21,Paid,2026-10-03,Basic,Monthly,,,8.97,429,8,0,Madan Nath Iyer,India,Chandigarh,Male,1994-12-10,2025-03-30,0,63.0,1.0,3.0,1154.0,31,low,0
3470-VPPPZ,2024-11-23,Paid,2026-11-23,Basic,Annual,,,9.07,196,7,0,Dev Tirkey,India,Goa,Male,1991-10-21,2026-04-03,0,64.0,0.0,3.0,663.0,34,low,0
4498-BVZNM,2022-09-10,Referral,2027-09-09,Standard,Annual,,,12.94,721,16,0,Rani Sandhu,India,Odisha,Female,1991-10-04,2026-01-06,0,23.0,1.0,2.0,1468.0,34,low,0
5195-HIXES,2024-10-19,Organic,2026-10-19,Basic,Annual,,,9.61,200,7,0,Gautam Barman,India,Gujarat,Male,1973-10-02,2026-06-30,0,63.0,1.0,3.0,698.0,52,low,0
1974-FQRBU,2025-01-01,Paid,2025-12-26,Basic,Annual,2025-12-26,Switched to competitor,9.16,128,7,1,Falguni Nath Agarwal,India,Madhya Pradesh,Female,1977-09-22,2025-11-25,0,62.0,0.0,5.0,359.0,49,low,0
8506-YSXIC,2023-10-07,Paid,2026-09-21,Basic,Monthly,,,7.28,241,10,0,Renu Lakra,India,Karnataka,Female,1971-10-13,2026-08-10,0,65.0,0.0,5.0,1076.0,54,low,0
6397-SOGEM,2021-10-19,Referral,2026-10-18,Basic,Annual,,,8.84,667,11,0,Rakesh Chopra,India,Karnataka,Male,2006-10-05,,0,,,,1794.0,19,low,0
8011-TDUFS,2022-09-25,Organic,2026-09-24,Basic,Annual,,,7.13,333,6,0,Lalit Kumari Malhotra,India,Chandigarh,Male,1995-08-04,2025-11-02,0,60.0,1.0,4.0,1453.0,31,low,0
0585-FNIVT,2021-10-10,Organic,2026-09-14,Standard,Monthly,,,17.58,1355,59,0,Uma Prasad,India,Puducherry,Female,1963-12-15,2026-03-09,0,32.0,0.0,2.0,1803.0,62,med,0
2876-KPIEN,2023-10-21,Organic,2026-10-05,Basic,Monthly,,,9.34,354,17,0,Rashmi Vora,India,Andhra Pradesh,Female,1974-09-10,2026-07-10,0,67.0,1.0,4.0,1062.0,52,low,0
7035-GLXDF,2022-08-08,Organic,2027-08-07,Basic,Annual,,,8.55,387,37,0,Anika Kumar Hegde,India,Sikkim,Female,1981-06-29,2024-05-21,0,45.0,0.0,2.0,1501.0,45,low,0
7553-UMWKE,2022-07-25,Organic,2027-07-24,Basic,Annual,,,7.86,369,13,0,Kavita Devi Agarwal,India,Arunachal Pradesh,Female,2008-07-28,2025-11-14,0,57.0,0.0,2.0,1515.0,18,low,0
0147-ZZYQR,2022-04-17,Referral,2026-09-23,Premium,Monthly,,,24.76,1685,14,0,Archana Bai Krishnan,India,Uttarakhand,Female,1991-11-27,2026-02-08,0,76.0,0.0,3.0,1614.0,34,low,0
6677-PYNHN,2023-02-28,Referral,2026-10-10,Standard,Monthly,,,16.44,824,41,0,Sheela Raj Anand,India,West Bengal,Female,1965-04-20,2024-05-02,0,88.0,1.0,2.0,1297.0,61,low,0
9648-XVFWQ,2023-11-14,Paid,2024-06-19,Basic,Monthly,2024-06-19,Poor content quality,9.6,79,51,1,Prakash Jain,India,Nagaland,Male,1998-09-20,2024-06-03,0,15.0,1.0,5.0,218.0,28,med,0
1725-QHYSE,2023-01-07,Paid,2023-07-24,Standard,Monthly,2023-07-24,Personal reasons,16.68,111,28,1,Parth Yadav,India,Puducherry,Male,2005-03-27,2023-06-05,0,64.0,0.0,2.0,198.0,21,low,0
8779-WSBLS,2025-02-15,Paid,2026-07-02,Standard,Monthly,2026-07-02,Switched to competitor,17.23,350,13,1,Imran Chadha,India,Jharkhand,Male,1986-03-13,2025-11-23,0,76.0,0.0,2.0,502.0,40,low,0
0044-ONHFH,2023-07-05,Paid,2027-07-04,Standard,Annual,,,17.67,726,15,0,Gopal Devi Bhardwaj,India,Odisha,Male,1997-03-02,2025-12-21,0,45.0,1.0,5.0,1170.0,29,low,0
6028-ORWXA,2025-06-01,Organic,2026-06-14,Basic,Monthly,2026-06-14,No longer interested,8.04,87,4,1,Akash Gill,India,Jammu and Kashmir,Male,1971-06-23,2025-11-19,0,61.0,0.0,2.0,378.0,55,low,0
1229-JCSAY,2022-10-28,Referral,2023-06-01,Basic,Monthly,2023-06-01,No longer interested,7.27,56,73,1,Asha Deshmukh,India,Tripura,Female,1969-04-02,2023-03-20,0,21.0,1.0,4.0,216.0,57,high,1
7729-OURAY,2023-09-18,Referral,2025-10-12,Basic,Monthly,2025-10-12,No longer interested,7.2,181,34,1,Swati Kumar Baruah,India,Andhra Pradesh,Female,1963-02-17,2025-07-18,0,68.0,0.0,5.0,755.0,63,low,0
9997-FIKPV,2023-08-23,Organic,2026-10-06,Standard,Monthly,,,16.96,711,7,0,Vinod Mukherjee,India,Meghalaya,Male,1978-01-08,,0,,,,1121.0,48,low,0
1492-RUHLP,2024-03-23,Organic,2026-02-14,Basic,Annual,2026-02-14,Technical issues,9.44,239,8,1,Mira Kumari Prasad,India,West Bengal,Female,1979-04-30,2026-02-01,0,99.0,0.0,2.0,693.0,47,low,0
9089-BBYND,2022-01-01,Paid,2026-10-07,Standard,Monthly,,,15.53,963,37,0,Milind Kumar Jain,India,Odisha,Male,1998-12-16,2026-02-03,0,74.0,0.0,4.0,1720.0,27,low,0
8341-CWUVF,2026-02-04,Organic,2026-10-02,Standard,Monthly,,,15.5,130,10,0,Mukesh Gowda,India,Sikkim,Male,1981-05-02,2026-05-03,0,67.0,0.0,2.0,225.0,45,low,0
0754-JIJWZ,2022-03-05,Referral,2026-10-10,Basic,Monthly,,,9.12,543,21,0,Poonam Kumar Bhardwaj,India,Uttarakhand,Female,1990-12-16,2025-11-22,0,58.0,0.0,1.0,1657.0,35,low,0
8964-SDNDU,2023-10-20,Paid,2026-10-04,Basic,Monthly,,,9.81,339,4,0,Rakesh Bhosale,India,Chandigarh,Male,1990-01-08,2026-01-29,0,100.0,0.0,2.0,1063.0,36,low,0
7187-DTBLL,2026-02-24,Paid,2026-09-06,Basic,Annual,2026-09-06,Poor customer support,8.53,49,11,1,Swati Chandel,India,Arunachal Pradesh,Female,1983-07-22,2026-06-18,0,8.0,0.0,3.0,194.0,43,low,0
6372-MPZRY,2026-07-17,Organic,2027-07-17,Basic,Annual,,,8.64,10,38,0,Anita Lal Kohli,India,Punjab,Female,2006-10-28,2026-09-03,0,43.0,0.0,3.0,62.0,19,low,0
2571-ZHVZD,2023-10-09,Referral,2025-10-17,Basic,Monthly,2025-10-17,Poor content quality,7.5,189,74,1,Renu Hegde,India,Bihar,Female,1998-07-15,2023-11-21,0,47.0,0.0,1.0,739.0,28,high,1
8181-TTRNS,2026-02-16,Paid,2026-09-14,Basic,Monthly,,,7.47,50,23,0,Jhanvi Nath Chatterjee,India,Karnataka,Female,1998-08-01,2026-08-01,0,66.0,0.0,4.0,213.0,28,low,0
8492-FQQIQ,2024-09-30,Paid,2026-09-20,Standard,Monthly,,,17.97,429,23,0,Preeti Mehta,India,Odisha,Female,1967-05-18,2025-11-05,0,81.0,0.0,1.0,717.0,59,low,0
8521-DUSON,2026-02-06,Paid,2027-02-06,Standard,Annual,,,17.89,138,9,0,Sulochana Nair,India,Odisha,Female,1986-09-16,2026-08-03,0,49.0,0.0,1.0,223.0,40,low,0
9048-MAOEM,2023-10-13,Paid,2026-10-12,Basic,Annual,,,7.42,238,21,0,Vinod Kapoor,India,Andhra Pradesh,Male,1967-06-04,2025-09-07,0,42.0,0.0,6.0,1070.0,59,low,0
7702-UVDBN,2022-01-21,Paid,2026-09-27,Premium,Monthly,,,22.88,1227,61,0,Bhaskar Thapar,India,Jammu and Kashmir,Male,2003-11-26,2024-06-12,0,54.0,0.0,1.0,1700.0,22,med,0
1982-ZDPWI,2023-02-24,Organic,2027-02-23,Standard,Annual,,,14.9,625,2,0,Gayatri Prasad Gupta,India,Manipur,Female,2008-04-24,,0,,,,1301.0,18,low,0
4998-VWSPE,2026-07-22,Referral,2026-08-19,Basic,Monthly,2026-08-19,No longer interested,9.14,11,69,1,Sai Devi Malhotra,India,Uttar Pradesh,Male,2002-03-08,2026-08-13,0,65.0,1.0,5.0,28.0,24,med,0
6076-JQGQN,2024-08-10,Referral,2026-09-29,Premium,Monthly,,,23.5,650,85,0,Rahul Nath Kulkarni,India,Chhattisgarh,Male,1964-03-07,2026-07-31,0,53.0,0.0,4.0,768.0,62,high,1
5669-MWBKS,2026-01-18,Paid,2026-06-14,Premium,Monthly,2026-06-14,Technical issues,24.46,126,59,1,Rajendra Rao,India,Assam,Male,1975-11-29,,0,,,,147.0,50,med,0
5015-VBZUJ,2026-07-25,Paid,2026-09-23,Standard,Monthly,,,15.89,15,77,0,Rohan Raman,India,Chandigarh,Male,1981-03-09,2026-08-28,0,42.0,0.0,1.0,54.0,45,high,1
7448-PEWOU,2023-09-10,Paid,2027-09-09,Basic,Annual,,,9.71,365,21,0,Rajendra Kumar,India,Haryana,Male,1966-06-25,,0,,,,1103.0,60,low,0
7777-FLPPC,2025-11-22,Referral,2025-12-16,Basic,Monthly,2025-12-16,No longer interested,8.69,11,46,1,Indranil Nath Khanna,India,Telangana,Male,2001-04-01,2025-12-16,0,29.0,0.0,5.0,24.0,25,low,0
2692-LMQXT,2024-09-22,Paid,2025-03-21,Premium,Annual,2025-03-21,Too expensive,21.94,132,65,1,Yamini Bai Kapoor,India,Jammu and Kashmir,Female,1989-08-07,2024-12-09,0,31.0,0.0,2.0,180.0,37,med,0
6230-HDDON,2023-02-02,Organic,2027-02-01,Basic,Annual,,,9.59,416,2,0,Devansh Prasad Trivedi,India,Rajasthan,Male,1971-12-21,2025-09-27,0,27.0,0.0,2.0,1323.0,54,low,0
2201-FTDYS,2023-08-30,Referral,2026-10-13,Premium,Monthly,,,20.73,932,39,0,Rajesh Devi Bhardwaj,India,Odisha,Male,2007-08-30,2025-05-05,0,33.0,1.0,3.0,1114.0,19,low,0
2171-SSYAX,2026-01-22,Paid,2027-01-22,Standard,Annual,,,13.7,91,37,0,Simran Rani Roy,India,Puducherry,Female,1963-10-27,2026-03-21,0,25.0,0.0,1.0,238.0,62,low,0
7438-BVCLW,2024-03-09,Organic,2026-09-25,Basic,Monthly,,,8.67,262,92,0,Zubin Kumari Gill,India,Tamil Nadu,Male,1971-11-13,2026-08-01,0,33.0,0.0,5.0,922.0,54,high,1
5321-ORLAQ,2024-10-02,Paid,2026-06-04,Premium,Monthly,2026-06-04,Poor customer support,23.4,536,61,1,Malini Nath Das,India,Manipur,Female,1972-03-04,2026-05-11,0,62.0,0.0,3.0,610.0,54,med,0
7667-LWFZA,2025-08-02,Referral,2026-09-26,Standard,Monthly,,,12.57,149,29,0,Zubin Reddy,India,Gujarat,Male,1983-07-12,2026-09-02,0,74.0,0.0,2.0,411.0,43,low,0
9814-IGBJK,2025-11-14,Organic,2026-10-10,Basic,Monthly,,,7.23,83,24,0,Chandan Khanna,India,Mizoram,Male,1980-04-21,2026-04-22,0,72.0,0.0,4.0,307.0,46,low,0
7845-JMGKH,2024-03-19,Paid,2026-10-05,Standard,Monthly,,,17.83,550,27,0,Kailash Oraon,India,Kerala,Male,1967-07-06,2026-08-20,0,51.0,1.0,3.0,912.0,59,low,0
2907-BTWVR,2025-07-16,Referral,2027-07-16,Standard,Annual,,,14.61,232,3,0,Manju Kumari Menon,India,Rajasthan,Female,1998-05-15,2026-07-16,0,62.0,0.0,2.0,428.0,28,low,0
3356-XOJGD,2025-02-17,Paid,2025-11-22,Basic,Monthly,2025-11-22,Poor customer support,7.68,83,61,1,Kritika Chand Desai,India,Rajasthan,Female,1976-07-01,2025-11-09,0,43.0,0.0,3.0,278.0,50,med,0
9217-LYHPE,2022-10-12,Paid,2026-10-11,Premium,Annual,,,22.59,1170,44,0,Aditi Mehra,India,Chandigarh,Female,2001-01-13,2025-07-01,0,61.0,0.0,5.0,1436.0,25,low,0
7068-EBHON,2023-08-28,Paid,2026-04-07,Premium,Annual,2026-04-07,No longer interested,23.47,865,1,1,Lalit Kumari Prasad,India,Assam,Male,1973-11-17,2025-02-14,0,57.0,1.0,1.0,953.0,52,low,0
